Tony Stark / Iron Man,lieutenant-colonel James « Rhodey » Rhodes
Tony Stark / Iron Man,Pepper Potts
Tony Stark / Iron Man,Pepper Potts
Tony Stark / Iron Man,Obadiah Stane / Iron Monger
Tony Stark / Iron Man,Ho Yinsen
Tony Stark / Iron Man,Harold « Happy » Hogan
Tony Stark / Iron Man,"Christine Everhart, journaliste à Vanity Fair"
Tony Stark / Iron Man,l'agent Phil Coulson du SHIELD
Tony Stark / Iron Man,Raza
Tony Stark / Iron Man,Abu Bakaar
Tony Stark / Iron Man,le général Gabriel
Tony Stark / Iron Man,William Ginter Riva
Tony Stark / Iron Man,major Allen
Tony Stark / Iron Man,Dubai beauty (non crédité)
Tony Stark / Iron Man,Howard Stark
Tony Stark / Iron Man,Pratt
Tony Stark / Iron Man,colonel Craig
Tony Stark / Iron Man,JARVIS (voix)
Tony Stark / Iron Man,Stan Lee
Tony Stark / Iron Man,"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
Tony Stark / Iron Man,l'analyste
Tony Stark / Iron Man,Bruce Banner / Hulk
Tony Stark / Iron Man,Pepper Potts[5]
Tony Stark / Iron Man,Ivan Vanko / Whiplash
Tony Stark / Iron Man,le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5]
Tony Stark / Iron Man,Natalie Rushman / Natasha Romanoff / Black Widow
Tony Stark / Iron Man,Justin Hammer[5]
Tony Stark / Iron Man,"Nick Fury, directeur du SHIELD[6]"
Tony Stark / Iron Man,"Phil Coulson, agent du SHIELD"
Tony Stark / Iron Man,"Phil Coulson, agent du SHIELD"
Tony Stark / Iron Man,Howard Stark[7]
Tony Stark / Iron Man,Happy Hogan
Tony Stark / Iron Man,J.A.R.V.I.S (voix)
Tony Stark / Iron Man,un US Marshal
Tony Stark / Iron Man,Christine Everhart
Tony Stark / Iron Man,le sénateur Stern
Tony Stark / Iron Man,Christiane Amanpour
Tony Stark / Iron Man,l'inspecteur Lemieux
Tony Stark / Iron Man,le major Allen
Tony Stark / Iron Man,Larry Ellison
Tony Stark / Iron Man,DJ AM
Tony Stark / Iron Man,le général Meade
Tony Stark / Iron Man,Anton Vanko
Tony Stark / Iron Man,un journaliste confondu avec Larry King (caméo)
Tony Stark / Iron Man,Rebecca
Tony Stark / Iron Man,Rebeka
Tony Stark / Iron Man,Bambi Arbogast
Tony Stark / Iron Man,Chess Roberts
Tony Stark / Iron Man,Elon Musk
Tony Stark / Iron Man,Tony Stark jeune
Tony Stark / Iron Man,Jack
Tony Stark / Iron Man,Peter Parker (petit garçon avec le masque d'Iron-Man)
Tony Stark / Iron Man,Dubbing Brothers[8]
Tony Stark / Iron Man,Michel Derain
Tony Stark / Iron Man,Philippe Videcoq
Tony Stark / Iron Man,Philippe Videcoq
Tony Stark / Iron Man,Steve Rogers / Captain America
Tony Stark / Iron Man,"Nick Fury, directeur du SHIELD"
Tony Stark / Iron Man,Thor
Tony Stark / Iron Man,Natasha Romanoff / Black Widow
Tony Stark / Iron Man,Clint Barton / Hawkeye
Tony Stark / Iron Man,Loki
Tony Stark / Iron Man,"Maria Hill, agent du SHIELD"
Tony Stark / Iron Man,Dr Erik Selvig
Tony Stark / Iron Man,Hulk (voix originale)
Tony Stark / Iron Man,une membre du Conseil de sécurité mondiale
Tony Stark / Iron Man,Georgi Luchkov
Tony Stark / Iron Man,l'Autre
Tony Stark / Iron Man,le gardien du hangar détruit
Tony Stark / Iron Man,"JARVIS, l'ordinateur-assistant de Tony Stark (voix)"
Tony Stark / Iron Man,l'agent Jasper Sitwell
Tony Stark / Iron Man,"Gideon Malick, un membre du Conseil de sécurité mondiale"
Tony Stark / Iron Man,Beth
Tony Stark / Iron Man,un homme critiquant les Avengers en interview (caméo)
Tony Stark / Iron Man,"Thanos (caméo, scène inter-générique)"
Tony Stark / Iron Man,"Jane Foster (caméo photographique, non créditée)"
Tony Stark / Iron Man,"Crâne rouge (flashback, non crédité)"
Tony Stark / Iron Man,"Peggy Carter (voix, non créditée)"
Tony Stark / Iron Man,un agent du S.H.I.E.L.D.
Tony Stark / Iron Man,Dubbing Brothers[1]
Tony Stark / Iron Man,Hervé Bellon
lieutenant-colonel James « Rhodey » Rhodes,Pepper Potts
lieutenant-colonel James « Rhodey » Rhodes,Obadiah Stane / Iron Monger
lieutenant-colonel James « Rhodey » Rhodes,Ho Yinsen
lieutenant-colonel James « Rhodey » Rhodes,Harold « Happy » Hogan
lieutenant-colonel James « Rhodey » Rhodes,"Christine Everhart, journaliste à Vanity Fair"
lieutenant-colonel James « Rhodey » Rhodes,l'agent Phil Coulson du SHIELD
lieutenant-colonel James « Rhodey » Rhodes,Raza
lieutenant-colonel James « Rhodey » Rhodes,Abu Bakaar
lieutenant-colonel James « Rhodey » Rhodes,le général Gabriel
lieutenant-colonel James « Rhodey » Rhodes,William Ginter Riva
lieutenant-colonel James « Rhodey » Rhodes,major Allen
lieutenant-colonel James « Rhodey » Rhodes,Dubai beauty (non crédité)
lieutenant-colonel James « Rhodey » Rhodes,Howard Stark
lieutenant-colonel James « Rhodey » Rhodes,Pratt
lieutenant-colonel James « Rhodey » Rhodes,colonel Craig
lieutenant-colonel James « Rhodey » Rhodes,JARVIS (voix)
lieutenant-colonel James « Rhodey » Rhodes,Stan Lee
lieutenant-colonel James « Rhodey » Rhodes,"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
lieutenant-colonel James « Rhodey » Rhodes,l'analyste
Pepper Potts,Obadiah Stane / Iron Monger
Pepper Potts,Ho Yinsen
Pepper Potts,Harold « Happy » Hogan
Pepper Potts,"Christine Everhart, journaliste à Vanity Fair"
Pepper Potts,l'agent Phil Coulson du SHIELD
Pepper Potts,Raza
Pepper Potts,Abu Bakaar
Pepper Potts,le général Gabriel
Pepper Potts,William Ginter Riva
Pepper Potts,major Allen
Pepper Potts,Dubai beauty (non crédité)
Pepper Potts,Howard Stark
Pepper Potts,Pratt
Pepper Potts,colonel Craig
Pepper Potts,JARVIS (voix)
Pepper Potts,Stan Lee
Pepper Potts,"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
Pepper Potts,l'analyste
Pepper Potts,Bruce Banner / Hulk
Pepper Potts,"Phil Coulson, agent du SHIELD"
Pepper Potts,Philippe Videcoq
Pepper Potts,Steve Rogers / Captain America
Pepper Potts,"Nick Fury, directeur du SHIELD"
Pepper Potts,Thor
Pepper Potts,Natasha Romanoff / Black Widow
Pepper Potts,Clint Barton / Hawkeye
Pepper Potts,Loki
Pepper Potts,"Maria Hill, agent du SHIELD"
Pepper Potts,Dr Erik Selvig
Pepper Potts,Hulk (voix originale)
Pepper Potts,une membre du Conseil de sécurité mondiale
Pepper Potts,Georgi Luchkov
Pepper Potts,l'Autre
Pepper Potts,le gardien du hangar détruit
Pepper Potts,"JARVIS, l'ordinateur-assistant de Tony Stark (voix)"
Pepper Potts,l'agent Jasper Sitwell
Pepper Potts,"Gideon Malick, un membre du Conseil de sécurité mondiale"
Pepper Potts,Beth
Pepper Potts,un homme critiquant les Avengers en interview (caméo)
Pepper Potts,"Thanos (caméo, scène inter-générique)"
Pepper Potts,"Jane Foster (caméo photographique, non créditée)"
Pepper Potts,"Crâne rouge (flashback, non crédité)"
Pepper Potts,"Peggy Carter (voix, non créditée)"
Pepper Potts,un agent du S.H.I.E.L.D.
Pepper Potts,Dubbing Brothers[1]
Pepper Potts,Hervé Bellon
Obadiah Stane / Iron Monger,Ho Yinsen
Obadiah Stane / Iron Monger,Harold « Happy » Hogan
Obadiah Stane / Iron Monger,"Christine Everhart, journaliste à Vanity Fair"
Obadiah Stane / Iron Monger,l'agent Phil Coulson du SHIELD
Obadiah Stane / Iron Monger,Raza
Obadiah Stane / Iron Monger,Abu Bakaar
Obadiah Stane / Iron Monger,le général Gabriel
Obadiah Stane / Iron Monger,William Ginter Riva
Obadiah Stane / Iron Monger,major Allen
Obadiah Stane / Iron Monger,Dubai beauty (non crédité)
Obadiah Stane / Iron Monger,Howard Stark
Obadiah Stane / Iron Monger,Pratt
Obadiah Stane / Iron Monger,colonel Craig
Obadiah Stane / Iron Monger,JARVIS (voix)
Obadiah Stane / Iron Monger,Stan Lee
Obadiah Stane / Iron Monger,"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
Obadiah Stane / Iron Monger,l'analyste
Ho Yinsen,Harold « Happy » Hogan
Ho Yinsen,"Christine Everhart, journaliste à Vanity Fair"
Ho Yinsen,l'agent Phil Coulson du SHIELD
Ho Yinsen,Raza
Ho Yinsen,Abu Bakaar
Ho Yinsen,le général Gabriel
Ho Yinsen,William Ginter Riva
Ho Yinsen,major Allen
Ho Yinsen,Dubai beauty (non crédité)
Ho Yinsen,Howard Stark
Ho Yinsen,Pratt
Ho Yinsen,colonel Craig
Ho Yinsen,JARVIS (voix)
Ho Yinsen,Stan Lee
Ho Yinsen,"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
Ho Yinsen,l'analyste
Harold « Happy » Hogan,"Christine Everhart, journaliste à Vanity Fair"
Harold « Happy » Hogan,l'agent Phil Coulson du SHIELD
Harold « Happy » Hogan,Raza
Harold « Happy » Hogan,Abu Bakaar
Harold « Happy » Hogan,le général Gabriel
Harold « Happy » Hogan,William Ginter Riva
Harold « Happy » Hogan,major Allen
Harold « Happy » Hogan,Dubai beauty (non crédité)
Harold « Happy » Hogan,Howard Stark
Harold « Happy » Hogan,Pratt
Harold « Happy » Hogan,colonel Craig
Harold « Happy » Hogan,JARVIS (voix)
Harold « Happy » Hogan,Stan Lee
Harold « Happy » Hogan,"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
Harold « Happy » Hogan,l'analyste
"Christine Everhart, journaliste à Vanity Fair",l'agent Phil Coulson du SHIELD
"Christine Everhart, journaliste à Vanity Fair",Raza
"Christine Everhart, journaliste à Vanity Fair",Abu Bakaar
"Christine Everhart, journaliste à Vanity Fair",le général Gabriel
"Christine Everhart, journaliste à Vanity Fair",William Ginter Riva
"Christine Everhart, journaliste à Vanity Fair",major Allen
"Christine Everhart, journaliste à Vanity Fair",Dubai beauty (non crédité)
"Christine Everhart, journaliste à Vanity Fair",Howard Stark
"Christine Everhart, journaliste à Vanity Fair",Pratt
"Christine Everhart, journaliste à Vanity Fair",colonel Craig
"Christine Everhart, journaliste à Vanity Fair",JARVIS (voix)
"Christine Everhart, journaliste à Vanity Fair",Stan Lee
"Christine Everhart, journaliste à Vanity Fair","Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
"Christine Everhart, journaliste à Vanity Fair",l'analyste
l'agent Phil Coulson du SHIELD,Raza
l'agent Phil Coulson du SHIELD,Abu Bakaar
l'agent Phil Coulson du SHIELD,le général Gabriel
l'agent Phil Coulson du SHIELD,William Ginter Riva
l'agent Phil Coulson du SHIELD,major Allen
l'agent Phil Coulson du SHIELD,Dubai beauty (non crédité)
l'agent Phil Coulson du SHIELD,Howard Stark
l'agent Phil Coulson du SHIELD,Pratt
l'agent Phil Coulson du SHIELD,colonel Craig
l'agent Phil Coulson du SHIELD,JARVIS (voix)
l'agent Phil Coulson du SHIELD,Stan Lee
l'agent Phil Coulson du SHIELD,"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
l'agent Phil Coulson du SHIELD,l'analyste
Raza,Abu Bakaar
Raza,le général Gabriel
Raza,William Ginter Riva
Raza,major Allen
Raza,Dubai beauty (non crédité)
Raza,Howard Stark
Raza,Pratt
Raza,colonel Craig
Raza,JARVIS (voix)
Raza,Stan Lee
Raza,"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
Raza,l'analyste
Abu Bakaar,le général Gabriel
Abu Bakaar,William Ginter Riva
Abu Bakaar,major Allen
Abu Bakaar,Dubai beauty (non crédité)
Abu Bakaar,Howard Stark
Abu Bakaar,Pratt
Abu Bakaar,colonel Craig
Abu Bakaar,JARVIS (voix)
Abu Bakaar,Stan Lee
Abu Bakaar,"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
Abu Bakaar,l'analyste
le général Gabriel,William Ginter Riva
le général Gabriel,major Allen
le général Gabriel,Dubai beauty (non crédité)
le général Gabriel,Howard Stark
le général Gabriel,Pratt
le général Gabriel,colonel Craig
le général Gabriel,JARVIS (voix)
le général Gabriel,Stan Lee
le général Gabriel,"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
le général Gabriel,l'analyste
William Ginter Riva,major Allen
William Ginter Riva,Dubai beauty (non crédité)
William Ginter Riva,Howard Stark
William Ginter Riva,Pratt
William Ginter Riva,colonel Craig
William Ginter Riva,JARVIS (voix)
William Ginter Riva,Stan Lee
William Ginter Riva,"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
William Ginter Riva,l'analyste
major Allen,Dubai beauty (non crédité)
major Allen,Howard Stark
major Allen,Pratt
major Allen,colonel Craig
major Allen,JARVIS (voix)
major Allen,Stan Lee
major Allen,"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
major Allen,l'analyste
Dubai beauty (non crédité),Howard Stark
Dubai beauty (non crédité),Pratt
Dubai beauty (non crédité),colonel Craig
Dubai beauty (non crédité),JARVIS (voix)
Dubai beauty (non crédité),Stan Lee
Dubai beauty (non crédité),"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
Dubai beauty (non crédité),l'analyste
Howard Stark,Pratt
Howard Stark,colonel Craig
Howard Stark,JARVIS (voix)
Howard Stark,Stan Lee
Howard Stark,"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
Howard Stark,l'analyste
Howard Stark,Steve Rogers / Captain America
Howard Stark,Peggy Carter
Howard Stark,Johann Schmidt / Crâne rouge
Howard Stark,James « Bucky » Barnes
Howard Stark,le colonel Chester Phillips
Howard Stark,Dr Abraham Erskine
Howard Stark,Dr Arnim Zola
Howard Stark,Heinz Kruger
Howard Stark,Timothy « Dum Dum » Dugan
Howard Stark,Gabe Jones
Howard Stark,Jim Morita
Howard Stark,James Montgomery Falsworth
Howard Stark,Jacques Dernier
Howard Stark,"Nick Fury, directeur du SHIELD"
Howard Stark,Sénateur Brandt
Howard Stark,Roeder
Howard Stark,Hutter
Howard Stark,Schneider
Howard Stark,l'assistant du sénateur Brandt
Howard Stark,un agent du SHIELD
Howard Stark,la chasseuse d'autographe
Howard Stark,Lorraine
Howard Stark,un général (caméo)
Howard Stark,Connie
Howard Stark,Steve Rogers (doublure pour les scènes où Steve est encore maigre[5])
Pratt,colonel Craig
Pratt,JARVIS (voix)
Pratt,Stan Lee
Pratt,"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
Pratt,l'analyste
colonel Craig,JARVIS (voix)
colonel Craig,Stan Lee
colonel Craig,"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
colonel Craig,l'analyste
JARVIS (voix),Stan Lee
JARVIS (voix),"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
JARVIS (voix),l'analyste
Stan Lee,"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
Stan Lee,l'analyste
"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)",l'analyste
Bruce Banner / Hulk,le lieutenant général Thaddeus « Thunderbolt » Ross
Bruce Banner / Hulk,Elizabeth « Betty » Ross
Bruce Banner / Hulk,le capitaine Emil Blonsky / l'Abomination
Bruce Banner / Hulk,Samuel Sterns
Bruce Banner / Hulk,Leonard « Doc » Samson
Bruce Banner / Hulk,la major Kathleen « Kat » Sparr
Bruce Banner / Hulk,le général Joe Greller
Bruce Banner / Hulk,Stanley
Bruce Banner / Hulk,Martina
Bruce Banner / Hulk,Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo)
Bruce Banner / Hulk,l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
Bruce Banner / Hulk,le professeur de sport de Banner (caméo)
Bruce Banner / Hulk,un soldat
Bruce Banner / Hulk,Tony Stark / Iron Man (non crédité)
Bruce Banner / Hulk,"Phil Coulson, agent du SHIELD"
Bruce Banner / Hulk,Philippe Videcoq
Bruce Banner / Hulk,Steve Rogers / Captain America
Bruce Banner / Hulk,"Nick Fury, directeur du SHIELD"
Bruce Banner / Hulk,Thor
Bruce Banner / Hulk,Natasha Romanoff / Black Widow
Bruce Banner / Hulk,Clint Barton / Hawkeye
Bruce Banner / Hulk,Loki
Bruce Banner / Hulk,"Maria Hill, agent du SHIELD"
Bruce Banner / Hulk,Dr Erik Selvig
Bruce Banner / Hulk,Hulk (voix originale)
Bruce Banner / Hulk,une membre du Conseil de sécurité mondiale
Bruce Banner / Hulk,Georgi Luchkov
Bruce Banner / Hulk,l'Autre
Bruce Banner / Hulk,le gardien du hangar détruit
Bruce Banner / Hulk,"JARVIS, l'ordinateur-assistant de Tony Stark (voix)"
Bruce Banner / Hulk,l'agent Jasper Sitwell
Bruce Banner / Hulk,"Gideon Malick, un membre du Conseil de sécurité mondiale"
Bruce Banner / Hulk,Beth
Bruce Banner / Hulk,un homme critiquant les Avengers en interview (caméo)
Bruce Banner / Hulk,"Thanos (caméo, scène inter-générique)"
Bruce Banner / Hulk,"Jane Foster (caméo photographique, non créditée)"
Bruce Banner / Hulk,"Crâne rouge (flashback, non crédité)"
Bruce Banner / Hulk,"Peggy Carter (voix, non créditée)"
Bruce Banner / Hulk,un agent du S.H.I.E.L.D.
Bruce Banner / Hulk,Dubbing Brothers[1]
Bruce Banner / Hulk,Hervé Bellon
le lieutenant général Thaddeus « Thunderbolt » Ross,Elizabeth « Betty » Ross
le lieutenant général Thaddeus « Thunderbolt » Ross,le capitaine Emil Blonsky / l'Abomination
le lieutenant général Thaddeus « Thunderbolt » Ross,Samuel Sterns
le lieutenant général Thaddeus « Thunderbolt » Ross,Leonard « Doc » Samson
le lieutenant général Thaddeus « Thunderbolt » Ross,la major Kathleen « Kat » Sparr
le lieutenant général Thaddeus « Thunderbolt » Ross,le général Joe Greller
le lieutenant général Thaddeus « Thunderbolt » Ross,Stanley
le lieutenant général Thaddeus « Thunderbolt » Ross,Martina
le lieutenant général Thaddeus « Thunderbolt » Ross,Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo)
le lieutenant général Thaddeus « Thunderbolt » Ross,l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
le lieutenant général Thaddeus « Thunderbolt » Ross,le professeur de sport de Banner (caméo)
le lieutenant général Thaddeus « Thunderbolt » Ross,un soldat
le lieutenant général Thaddeus « Thunderbolt » Ross,Tony Stark / Iron Man (non crédité)
Elizabeth « Betty » Ross,le capitaine Emil Blonsky / l'Abomination
Elizabeth « Betty » Ross,Samuel Sterns
Elizabeth « Betty » Ross,Leonard « Doc » Samson
Elizabeth « Betty » Ross,la major Kathleen « Kat » Sparr
Elizabeth « Betty » Ross,le général Joe Greller
Elizabeth « Betty » Ross,Stanley
Elizabeth « Betty » Ross,Martina
Elizabeth « Betty » Ross,Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo)
Elizabeth « Betty » Ross,l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
Elizabeth « Betty » Ross,le professeur de sport de Banner (caméo)
Elizabeth « Betty » Ross,un soldat
Elizabeth « Betty » Ross,Tony Stark / Iron Man (non crédité)
le capitaine Emil Blonsky / l'Abomination,Samuel Sterns
le capitaine Emil Blonsky / l'Abomination,Leonard « Doc » Samson
le capitaine Emil Blonsky / l'Abomination,la major Kathleen « Kat » Sparr
le capitaine Emil Blonsky / l'Abomination,le général Joe Greller
le capitaine Emil Blonsky / l'Abomination,Stanley
le capitaine Emil Blonsky / l'Abomination,Martina
le capitaine Emil Blonsky / l'Abomination,Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo)
le capitaine Emil Blonsky / l'Abomination,l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
le capitaine Emil Blonsky / l'Abomination,le professeur de sport de Banner (caméo)
le capitaine Emil Blonsky / l'Abomination,un soldat
le capitaine Emil Blonsky / l'Abomination,Tony Stark / Iron Man (non crédité)
Samuel Sterns,Leonard « Doc » Samson
Samuel Sterns,la major Kathleen « Kat » Sparr
Samuel Sterns,le général Joe Greller
Samuel Sterns,Stanley
Samuel Sterns,Martina
Samuel Sterns,Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo)
Samuel Sterns,l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
Samuel Sterns,le professeur de sport de Banner (caméo)
Samuel Sterns,un soldat
Samuel Sterns,Tony Stark / Iron Man (non crédité)
Leonard « Doc » Samson,la major Kathleen « Kat » Sparr
Leonard « Doc » Samson,le général Joe Greller
Leonard « Doc » Samson,Stanley
Leonard « Doc » Samson,Martina
Leonard « Doc » Samson,Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo)
Leonard « Doc » Samson,l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
Leonard « Doc » Samson,le professeur de sport de Banner (caméo)
Leonard « Doc » Samson,un soldat
Leonard « Doc » Samson,Tony Stark / Iron Man (non crédité)
la major Kathleen « Kat » Sparr,le général Joe Greller
la major Kathleen « Kat » Sparr,Stanley
la major Kathleen « Kat » Sparr,Martina
la major Kathleen « Kat » Sparr,Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo)
la major Kathleen « Kat » Sparr,l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
la major Kathleen « Kat » Sparr,le professeur de sport de Banner (caméo)
la major Kathleen « Kat » Sparr,un soldat
la major Kathleen « Kat » Sparr,Tony Stark / Iron Man (non crédité)
le général Joe Greller,Stanley
le général Joe Greller,Martina
le général Joe Greller,Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo)
le général Joe Greller,l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
le général Joe Greller,le professeur de sport de Banner (caméo)
le général Joe Greller,un soldat
le général Joe Greller,Tony Stark / Iron Man (non crédité)
Stanley,Martina
Stanley,Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo)
Stanley,l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
Stanley,le professeur de sport de Banner (caméo)
Stanley,un soldat
Stanley,Tony Stark / Iron Man (non crédité)
Martina,Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo)
Martina,l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
Martina,le professeur de sport de Banner (caméo)
Martina,un soldat
Martina,Tony Stark / Iron Man (non crédité)
Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo),l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo),le professeur de sport de Banner (caméo)
Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo),un soldat
Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo),Tony Stark / Iron Man (non crédité)
l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo),le professeur de sport de Banner (caméo)
l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo),un soldat
l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo),Tony Stark / Iron Man (non crédité)
le professeur de sport de Banner (caméo),un soldat
le professeur de sport de Banner (caméo),Tony Stark / Iron Man (non crédité)
